feature,shap_importance
age_at_first_admit,0.04173848746694009
insurance,0.035881207907064346
avg_los_days,0.03178617249971493
atc_A_rx_count,0.026741987571788323
total_los_days,0.02558181549386373
n_hospital_admits,0.023834024415131192
atc_H_rx_count,0.022769306708196255
atc_C_rx_count,0.02246523341739968
gender,0.021767470139129268
atc_N_rx_count,0.01991213877513435
atc_Other_rx_count,0.017120416492205127
race,0.015749812166528446
atc_B_rx_count,0.015590989537340607
atc_J_rx_count,0.012402230641114847
atc_R_rx_count,0.010079712265857904
any_benzo_flag,0.008600846258721451
