feature,shap_importance
avg_drg_severity,0.04432081908634975
bmi,0.03838263985737773
atc_Other_rx_count,0.03748152622406448
avg_drg_mortality,0.02910041531901394
total_los_days,0.025432638895181617
high_severity_flag,0.02306026234565353
max_drg_severity,0.01964542794642016
total_icu_hours,0.01787178768639764
has_bmi,0.01612602287543122
atc_A_rx_count,0.015090088145751787
n_admissions_with_drg,0.014809467878378705
insurance,0.013995946683542667
n_hospital_admits,0.012748915370098276
atc_J_rx_count,0.012657904353852667
avg_los_days,0.010843100841797407
n_icu_admissions,0.009904869123727142
obesity_flag,0.009436460502090517
has_icu_stay,0.009404687965691359
total_icu_days,0.007972642931434796
atc_C_rx_count,0.007681028475491695
max_drg_mortality,0.007616900306495069
n_icu_stays,0.0061426647477233025
atc_R_rx_count,0.005999424984509931
age_at_first_admit,0.0054920222321793565
atc_B_rx_count,0.005006620265263014
atc_N_rx_count,0.004833934480496861
atc_H_rx_count,0.003804394838734636
gender,0.0029918040199113207
race,0.0029776247936313597
high_mortality_flag,0.0026311998524167174
any_benzo_flag,0.0014595106592402666
morbid_obesity_flag,0.00018311187346402928
